Day,sex,mean_height,std_height,mean_weight,std_weight
273,0,71.9273,2.241973941,8.8929,0.9676364489999999
274,0,71.9714,2.2433485380000002,8.9019,0.968615739
275,0,72.0154,2.2447200179999998,8.9109,0.969595029
276,0,72.0594,2.2460914979999997,8.9199,0.970574319
277,0,72.1033,2.2474598610000003,8.9288,0.971632016
278,0,72.1472,2.248828224,8.9377,0.9726005139999999
279,0,72.1909,2.250190353,8.9466,0.973569012
280,0,72.2347,2.251555599,8.9555,0.9745375100000001
281,0,72.2783,2.252914611,8.9643,0.975495126
282,0,72.3219,2.254273623,8.9731,0.9765424730000001
283,0,72.3655,2.255632635,8.9819,0.9775001769999999
284,0,72.4089,2.256985413,8.9907,0.978457881
285,0,72.4523,2.258338191,8.9995,0.97950558
286,0,72.4957,2.2596909689999998,9.0082,0.9804524880000001
287,0,72.539,2.26104063,9.0169,0.981399396
288,0,72.5822,2.262387174,9.0256,0.9823463040000001
289,0,72.6253,2.263730601,9.0342,0.9833726700000001
290,0,72.6684,2.2650740280000004,9.0429,0.984319665
291,0,72.7115,2.266417455,9.0515,0.9852557750000001
292,0,72.7544,2.267754648,9.0601,0.986282486
293,0,72.7974,2.2690949579999997,9.0687,0.987218682
294,0,72.8402,2.2704290339999997,9.0772,0.9882347639999999
295,0,72.883,2.2717631099999998,9.0858,0.989171046
296,0,72.9257,2.2730940690000003,9.0943,0.990096441
297,0,72.9684,2.274425028,9.1028,0.9911128640000001
298,0,73.011,2.27575287,9.1113,0.992038344
299,0,73.0535,2.27780813,9.1198,0.992963824
300,0,73.096,2.27913328,9.1282,0.993969698
301,0,73.1384,2.280455312,9.1366,0.994884374
302,0,73.1808,2.281777344,9.145,0.9958904999999999
303,0,73.2231,2.283096258,9.1534,0.9968052599999999
304,0,73.2653,2.2844120539999997,9.1618,0.9977200199999999
305,0,73.3075,2.2857278500000002,9.1701,0.9987155910000001
306,0,73.3497,2.287043646,9.1785,0.999630435
307,0,73.3917,2.289087123,9.1868,1.000626256
308,0,73.4337,2.290397103,9.1951,1.001530292
309,0,73.4757,2.291707083,9.2034,1.002526362
310,0,73.5176,2.293013944,9.2117,1.003430481
311,0,73.5594,2.294317686,9.2199,1.004415906
312,0,73.6012,2.295621428,9.2282,1.0053201079999998
313,0,73.6429,2.29765848,9.2364,1.006213416
314,0,73.6845,2.2989564,9.2446,1.00719917
315,0,73.7261,2.30025432,9.2528,1.0080925600000001
316,0,73.7677,2.30155224,9.261,1.0090785599999998
317,0,73.8091,2.30284392,9.2691,1.009961136
318,0,73.8506,2.3048772260000003,9.2773,1.010947381
319,0,73.8919,2.306166199,9.2854,1.0118300379999998
320,0,73.9333,2.3074582930000003,9.2935,1.01280563
321,0,73.9745,2.3087441450000004,9.3016,1.013688368
322,0,74.0157,2.310770154,9.3097,1.014664203
323,0,74.0569,2.312056418,9.3178,1.015547022
324,0,74.0979,2.313336438,9.3258,1.0165122
325,0,74.139,2.31461958,9.3339,1.0174884389999999
326,0,74.18,2.3166414000000004,9.3419,1.018360519
327,0,74.2209,2.317918707,9.3499,1.019326098
328,0,74.2618,2.319196014,9.3579,1.0201982580000002
329,0,74.3026,2.321213224,9.3659,1.0211640770000001
330,0,74.3433,2.322484692,9.3739,1.0220363170000002
331,0,74.3841,2.3237592840000003,9.3819,1.023002376
332,0,74.4247,2.325027628,9.3898,1.023863792
333,0,74.4653,2.327040625,9.3978,1.02483009
334,0,74.5059,2.328309375,9.4057,1.025691585
335,0,74.5464,2.329575,9.4136,1.0266472160000002
336,0,74.5868,2.331583368,9.4215,1.027603005
337,0,74.6272,2.3328462720000003,9.4294,1.0284646579999999
338,0,74.6676,2.334109176,9.4373,1.029420684
339,0,74.7079,2.3361160329999997,9.4452,1.030282416
340,0,74.7481,2.3373730869999996,9.453,1.03122777
341,0,74.7883,2.3386301410000003,9.4609,1.0321841900000002
342,0,74.8285,2.3406354800000004,9.4687,1.03303517
343,0,74.8686,2.3418898080000004,9.4765,1.033980915
344,0,74.9086,2.3431410080000004,9.4844,1.0348428840000001
345,0,74.9486,2.345141694,9.4922,1.035788864
346,0,74.9886,2.346393294,9.4999,1.036724087
347,0,75.0285,2.3483920499999997,9.5077,1.037575301
348,0,75.0683,2.34963779,9.5155,1.03852167
349,0,75.1081,2.35088353,9.5232,1.03945728
350,0,75.1479,2.352880749,9.531,1.04030865
351,0,75.1876,2.354123756,9.5387,1.041244492
352,0,75.2273,2.356119036,9.5464,1.042085024
353,0,75.2669,2.3573593080000004,9.5542,1.043032014
354,0,75.3065,2.35859958,9.5619,1.043968242
355,0,75.346,2.36059018,9.5696,1.044808928
356,0,75.3855,2.3618277149999996,9.5772,1.0457344679999998
357,0,75.425,2.3638195,9.5849,1.04667108
358,0,75.4644,2.365054296,9.5926,1.04751192
359,0,75.5037,2.367040995,9.6002,1.048437842
360,0,75.5431,2.368276185,9.6079,1.049374838
361,0,75.5824,2.370264064,9.6155,1.0502049100000002
362,0,75.6216,2.371493376,9.6231,1.0511312130000001
363,0,75.6608,2.3727226879999996,9.6308,1.0520685920000001
364,0,75.6999,2.374705863,9.6384,1.0529952
365,0,75.7391,2.375935567,9.646,1.0538255
366,0,75.7781,2.377916778,9.6535,1.0547414099999999
367,0,75.8172,2.379143736,9.6611,1.055668397
368,0,75.8562,2.381126118,9.6687,1.056498849
369,0,75.8951,2.382347189,9.6763,1.057426064
370,0,75.934,2.3843275999999998,9.6838,1.058342502
371,0,75.9729,2.3855490599999998,9.6914,1.0592700199999998
372,0,76.0117,2.387527497,9.6989,1.06008977
373,0,76.0505,2.388746205,9.7064,1.061006584
374,0,76.0892,2.390722664,9.7139,1.061923548
375,0,76.1279,2.3919386179999997,9.7214,1.062840662
376,0,76.1665,2.393913095,9.7289,1.063660637
377,0,76.2051,2.395126293,9.7364,1.064577976
378,0,76.2437,2.3971019280000005,9.7439,1.065495465
